name,bug,states,time,human label,,,,,,human label,
reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,FALSE,0,22.84248972,TRUE,TRUE,FALSE,Collect(uint256),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/mcore_if3jb3di,21.54393888,Yse,FN
reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,FALSE,0,23.02053356,TRUE,TRUE,FALSE,Collect(uint256),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/mcore_cx04nepl,21.72768831,Yse,FN
reentrancy/etherbank.sol,FALSE,0,9.516271353,TRUE,FALSE,FALSE,withdrawBalance(),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/mcore_114e4_2f,8.180860043,Yse,FN
reentrancy/modifier_reentrancy.sol,FALSE,0,0.906848192,FALSE,FALSE,FALSE,NO_1,,,Yse,FN
reentrancy/reentrance.sol,TRUE,164,100.037148,TRUE,FALSE,FALSE,withdraw(uint256),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/reentrancy/reentrance.sol_Reentrance,98.78452611,Yse,TP
reentrancy/reentrancy_bonus.sol,FALSE,0,0.849466562,FALSE,FALSE,FALSE,compile error!,,,No,TN
reentrancy/reentrancy_cross_function.sol,FALSE,0,0.885198116,FALSE,FALSE,FALSE,compile error!,,,Yse,FN
reentrancy/reentrancy_dao.sol,TRUE,37,33.75381255,TRUE,FALSE,FALSE,withdrawAll(),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/reentrancy/reentrancy_dao.sol_ReentrancyDAO,32.49039197,Yse,TP
reentrancy/reentrancy_insecure.sol,FALSE,0,0.847151279,FALSE,FALSE,FALSE,compile error!,,,No,TN
reentrancy/reentrancy_simple.sol,TRUE,63,58.13264465,TRUE,FALSE,FALSE,withdrawBalance(),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/reentrancy/reentrancy_simple.sol_Reentrance,56.82435131,Yse,TP
reentrancy/simple_dao.sol,TRUE,141,105.6532199,TRUE,FALSE,FALSE,withdraw(uint256),/data/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm/reentrancy/simple_dao.sol_SimpleDAO,104.3711164,Yse,TP
