name,bug,states,time,,,,,,,human label,
RE/0x941d225236464a25eb18076df7da6a91d0f95e9e_ETHFUND.sol,TRUE,172,120.5670154,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x941d225236464a25eb18076df7da6a91d0f95e9e_ETHFUND.sol_ETHFUND,119.6900179,Yse,TP
RE/0x941d225236464a25eb18076df7da6a91d0f95e9e1_ETHFUND.sol,TRUE,172,109.8047941,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0x941d225236464a25eb18076df7da6a91d0f95e9e1_ETHFUND.sol_ETHFUND,108.9570293,Yse,TP
RE/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_DEPBANK.sol,TRUE,216,149.205827,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8_DEPBANK.sol_DEPBANK,148.3824751,Yse,TP
RE/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_PrivateBank.sol,TRUE,165,107.4001749,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12_PrivateBank.sol_PrivateBank,106.553019,Yse,TP
RE/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_PrivateBank.sol,TRUE,98,92.37010717,TRUE,FALSE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e_PrivateBank.sol_PrivateBank,91.55593395,Yse,TP
RE/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e1_PrivateBank.sol,TRUE,172,110.0312476,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e1_PrivateBank.sol_PrivateBank,109.2033083,Yse,TP
RE/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f_ETHVAULT.sol,TRUE,165,110.8755767,TRUE,TRUE,FALSE,CashOut(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f_ETHVAULT.sol_ETHVAULT,110.0448151,Yse,TP
RE/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888_MONEYBOX.sol,TRUE,242,156.2556121,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888_MONEYBOX.sol_MONEYBOX,155.2812541,Yse,TP
RE/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_WALLET.sol,TRUE,79,98.3374908,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e_WALLET.sol_WALLET,97.52952862,Yse,TP
RE/0xf015c35649c82f5467c9c74b7f28ee67665aad68_MYBANK.sol,TRUE,134,122.4110875,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xf015c35649c82f5467c9c74b7f28ee67665aad68_MYBANK.sol_MYBANK,121.5710008,Yse,TP
RE/0xf015c35649c82f5467c9c74b7f28ee67665aad681_MYBANK.sol,TRUE,134,111.3015449,TRUE,TRUE,FALSE,Collect(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/0xf015c35649c82f5467c9c74b7f28ee67665aad681_MYBANK.sol_MYBANK,110.4714673,Yse,TP
RE/etherbank_EtherBank.sol,TRUE,59,37.15625429,TRUE,FALSE,FALSE,withdrawBalance(),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/etherbank_EtherBank.sol_EtherBank,36.37517118,Yse,TP
RE/etherstore_EtherStore.sol,TRUE,141,129.0899,TRUE,FALSE,FALSE,withdrawFunds(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/etherstore_EtherStore.sol_EtherStore,128.2693901,Yse,TP
RE/modifierreentrancy_ModifierEntrancy.sol,FALSE,0,0.555554152,FALSE,FALSE,FALSE,NO_1,,,Yse,FN
RE/reentrance_Reentrance.sol,TRUE,129,70.11164713,TRUE,FALSE,FALSE,withdraw(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/reentrance_Reentrance.sol_Reentrance,69.30367875,Yse,TP
RE/reentrancybonus_Reentrancybonus.sol,FALSE,0,81.12577891,TRUE,FALSE,FALSE,withdrawReward(address),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/mcore_2p1we1dq,80.3212831,No,TN
RE/reentrancycrossfunction_Reentrancycrossfunction.sol,TRUE,51,50.04930472,TRUE,FALSE,FALSE,withdrawBalance(),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/reentrancycrossfunction_Reentrancycrossfunction.sol_Reentrancycrossfunction,49.23800039,Yse,TP
RE/reentrancydao_ReentrancyDAO.sol,TRUE,27,32.89617586,TRUE,FALSE,FALSE,withdrawAll(),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/reentrancydao_ReentrancyDAO.sol_ReentrancyDAO,32.11121678,Yse,TP
RE/reentrancyinsecure_Reentrancyinsecure.sol,FALSE,0,30.90225959,TRUE,FALSE,FALSE,withdrawBalance(),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/mcore_rixj9ya6,30.17395663,No,TN
RE/reentrancysimple_Reentrance.sol,TRUE,51,38.83076096,TRUE,FALSE,FALSE,withdrawBalance(),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/reentrancysimple_Reentrance.sol_Reentrance,38.06424356,Yse,TP
RE/simpledao_SimpleDAO.sol,TRUE,111,62.23505473,TRUE,FALSE,FALSE,withdraw(uint256),/home/wangzexu/manticore_pro/manticore-0.3.0/examples/evm_reentrancy/RE/simpledao_SimpleDAO.sol_SimpleDAO,61.41420007,Yse,TP
